code,web_name,element_type,team_name,now_cost,status,news,chance_of_playing_next_round,birth_date,pos,price,age,tp_2526,n60,ncam,pts_start,club_2526,P_start,cameo_share,club_2526_sh,moved,type
438098,Fábio Vieira,3,ARS,55,a,,,,MID,5.5,,0.0,0.0,0.0,,Arsenal,0.0,,ARS,False,A-clean
200641,Nelson,3,ARS,55,a,,,,MID,5.5,,13.0,0.0,10.0,,Brentford,0.0,1.0,BRE,True,B-cameo
224117,Gyökeres,4,ARS,75,a,,,,FWD,7.5,,128.0,21.0,14.0,4.380952380952381,Arsenal,0.55,0.4,ARS,False,B-cameo
219847,Havertz,4,ARS,75,a,,,,FWD,7.5,,36.0,5.0,7.0,4.6,Arsenal,0.13,0.58,ARS,False,B-cameo
205651,G.Jesus,4,ARS,60,a,,,,FWD,6.0,,24.0,1.0,13.0,5.0,Arsenal,0.03,0.93,ARS,False,B-cameo
439509,Tzolis,3,ARS,65,a,,,2002-01-30,MID,6.5,25.0,,,,,,,,,False,A-clean
98980,Martinez,1,AVL,50,a,,,,GK,5.0,,120.0,31.0,1.0,3.838709677419355,Aston Villa,0.82,0.03,AVL,False,A-clean
72147,M.Bizot,1,AVL,45,a,,,,GK,4.5,,16.0,6.0,1.0,2.3333333333333335,Aston Villa,0.16,0.14,AVL,False,A-clean
101188,Digne,2,AVL,45,a,,,,DEF,4.5,,97.0,19.0,12.0,4.2631578947368425,Aston Villa,0.5,0.39,AVL,False,B-cameo
199798,Konsa,2,AVL,45,a,,,,DEF,4.5,,100.0,34.0,0.0,2.9411764705882355,Aston Villa,0.89,0.0,AVL,False,A-clean
199796,Cash,2,AVL,45,a,,,,DEF,4.5,,117.0,33.0,2.0,3.5454545454545454,Aston Villa,0.87,0.06,AVL,False,A-clean
149484,Mings,2,AVL,45,a,,,,DEF,4.5,,50.0,14.0,3.0,3.357142857142857,Aston Villa,0.37,0.18,AVL,False,A-clean
244954,Pau,2,AVL,45,a,,,,DEF,4.5,,64.0,18.0,3.0,3.388888888888889,Aston Villa,0.47,0.14,AVL,False,A-clean
515597,Bogarde,3,AVL,50,a,,,,MID,5.0,,40.0,10.0,18.0,2.6,Aston Villa,0.26,0.64,AVL,False,B-cameo
441302,Maatsen,2,AVL,45,a,,,,DEF,4.5,,54.0,17.0,13.0,2.4705882352941178,Aston Villa,0.45,0.43,AVL,False,B-cameo
184667,Lindelöf,2,AVL,45,a,,,,DEF,4.5,,29.0,10.0,7.0,2.2,Aston Villa,0.26,0.41,AVL,False,B-cameo
606798,A.García,2,AVL,40,a,,,,DEF,4.0,,5.0,0.0,6.0,,Aston Villa,0.0,1.0,AVL,False,B-cameo
578545,Nedeljkovic,2,AVL,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
195546,Buendía,3,AVL,60,a,,,,MID,6.0,,102.0,15.0,21.0,3.3333333333333335,Aston Villa,0.39,0.58,AVL,False,B-cameo
485337,Guessand,3,AVL,55,a,,,,MID,5.5,,44.0,7.0,14.0,3.142857142857143,Aston Villa,0.18,0.67,AVL,False,B-cameo
215711,Bailey,3,AVL,55,a,,,,MID,5.5,,21.0,3.0,10.0,4.0,Aston Villa,0.08,0.77,AVL,False,B-cameo
122806,McGinn,3,AVL,55,a,,,,MID,5.5,,103.0,25.0,5.0,3.92,Aston Villa,0.66,0.17,AVL,False,A-clean
88894,Barkley,3,AVL,50,a,,,,MID,5.0,,56.0,7.0,14.0,4.857142857142857,Aston Villa,0.18,0.67,AVL,False,B-cameo
226944,Kamara,3,AVL,50,d,Knee injury - 75% chance of playing,75.0,,MID,5.0,,61.0,16.0,2.0,3.6875,Aston Villa,0.42,0.11,AVL,False,A-clean
449871,Onana,3,AVL,50,i,Knee injury - Unknown return date,0.0,,MID,5.0,,76.0,20.0,5.0,3.55,Aston Villa,0.53,0.2,AVL,False,A-clean
469247,Iling Jr,3,AVL,50,a,,,,MID,5.0,,0.0,0.0,0.0,,Aston Villa,0.0,,AVL,False,A-clean
645618,Burrowes,3,AVL,45,a,,,,MID,4.5,,1.0,0.0,1.0,,Aston Villa,0.0,1.0,AVL,False,B-cameo
577285,George Hemmings,3,AVL,45,a,,,,MID,4.5,,2.0,0.0,2.0,,Aston Villa,0.0,1.0,AVL,False,B-cameo
653481,Alysson,3,AVL,50,a,,,,MID,5.0,,3.0,0.0,3.0,,Aston Villa,0.0,1.0,AVL,False,B-cameo
614071,Manzambi,3,AVL,60,a,,,,MID,6.0,,,,,,,,,,False,A-clean
448089,Gomes,3,AVL,55,a,,,,MID,5.5,,107.0,31.0,4.0,3.3225806451612905,Wolves,0.82,0.11,WOL,True,A-clean
178301,Watkins,4,AVL,80,a,,,,FWD,8.0,,167.0,32.0,5.0,4.75,Aston Villa,0.84,0.14,AVL,False,A-clean
173879,Abraham,4,AVL,55,i,Shoulder injury - Expected back 23 Aug,0.0,,FWD,5.5,,23.0,1.0,11.0,2.0,Aston Villa,0.03,0.92,AVL,False,B-cameo
493105,Garnacho,3,AVL,60,a,,,,MID,6.0,,56.0,10.0,13.0,3.6,Chelsea,0.26,0.57,CHE,True,B-cameo
457569,Petrović,1,BOU,45,a,,,,GK,4.5,,124.0,37.0,0.0,3.3513513513513513,Bournemouth,0.97,0.0,BOU,False,A-clean
40383,Forster,1,BOU,40,a,,,,GK,4.0,,0.0,0.0,0.0,,Bournemouth,0.0,,BOU,False,A-clean
444172,Dennis,1,BOU,40,a,,,,GK,4.0,,0.0,0.0,0.0,,Bournemouth,0.0,,BOU,False,A-clean
463981,Hill,2,BOU,55,a,,,,DEF,5.5,,110.0,22.0,6.0,4.7272727272727275,Bournemouth,0.58,0.21,BOU,False,A-clean
494521,Truffert,2,BOU,55,a,,,,DEF,5.5,,165.0,37.0,0.0,4.45945945945946,Bournemouth,0.97,0.0,BOU,False,A-clean
242882,Diakité,2,BOU,50,a,,,,DEF,5.0,,46.0,13.0,5.0,3.3076923076923075,Bournemouth,0.34,0.28,BOU,False,B-cameo
620487,Milosavljević,2,BOU,50,a,,,,DEF,5.0,,19.0,4.0,3.0,4.0,Bournemouth,0.11,0.43,BOU,False,B-cameo
54469,Smith,2,BOU,45,a,,,,DEF,4.5,,58.0,11.0,11.0,4.545454545454546,Bournemouth,0.29,0.5,BOU,False,B-cameo
436893,J.Araujo,2,BOU,45,a,,,,DEF,4.5,,0.0,0.0,0.0,,Bournemouth,0.0,,BOU,False,A-clean
575901,Soler,2,BOU,40,a,,,,DEF,4.0,,3.0,0.0,3.0,,Bournemouth,0.0,1.0,BOU,False,B-cameo
499604,Rayan,3,BOU,65,a,,,,MID,6.5,,67.0,13.0,1.0,4.846153846153846,Bournemouth,0.34,0.07,BOU,False,A-clean
201658,Tavernier,3,BOU,60,a,,,,MID,6.0,,137.0,30.0,3.0,4.466666666666667,Bournemouth,0.79,0.09,BOU,False,A-clean
503139,Scott,3,BOU,60,a,,,,MID,6.0,,136.0,32.0,4.0,4.15625,Bournemouth,0.84,0.11,BOU,False,A-clean
222683,Kluivert,3,BOU,60,a,,,,MID,6.0,,41.0,9.0,11.0,3.0,Bournemouth,0.24,0.55,BOU,False,B-cameo
155408,Cook,3,BOU,50,a,,,,MID,5.0,,40.0,8.0,10.0,3.75,Bournemouth,0.21,0.56,BOU,False,B-cameo
496208,Gannon-Doak,3,BOU,50,a,,,,MID,5.0,,11.0,0.0,8.0,,Bournemouth,0.0,1.0,BOU,False,B-cameo
200785,Adams,3,BOU,50,a,,,,MID,5.0,,77.0,20.0,4.0,3.45,Bournemouth,0.53,0.17,BOU,False,A-clean
111317,Brooks,3,BOU,50,a,,,,MID,5.0,,59.0,12.0,18.0,3.1666666666666665,Bournemouth,0.32,0.6,BOU,False,B-cameo
158499,Christie,3,BOU,50,s,Suspended until 29 Aug,0.0,,MID,5.0,,47.0,6.0,19.0,4.166666666666667,Bournemouth,0.16,0.76,BOU,False,B-cameo
614574,Tóth.A,3,BOU,50,a,,,,MID,5.0,,8.0,0.0,8.0,,Bournemouth,0.0,1.0,BOU,False,B-cameo
489888,Adli,3,BOU,50,a,,,,MID,5.0,,67.0,8.0,23.0,5.625,Bournemouth,0.21,0.74,BOU,False,B-cameo
560262,Kroupi.Jr,3,BOU,75,a,,,,MID,7.5,,113.0,19.0,13.0,5.315789473684211,Bournemouth,0.5,0.41,BOU,False,B-cameo
444102,Evanilson,4,BOU,60,a,,,,FWD,6.0,,115.0,29.0,6.0,3.586206896551724,Bournemouth,0.76,0.17,BOU,False,A-clean
168636,Enes Ünal,4,BOU,55,a,,,,FWD,5.5,,27.0,0.0,23.0,,Bournemouth,0.0,1.0,BOU,False,B-cameo
561245,Rodríguez,4,BOU,60,a,,,,FWD,6.0,,,,,,,,,,False,A-clean
200720,Kelleher,1,BRE,50,a,,,,GK,5.0,,143.0,37.0,0.0,3.864864864864865,Brentford,0.97,0.0,BRE,False,A-clean
507433,Valdimarsson,1,BRE,45,a,,,,GK,4.5,,1.0,1.0,0.0,1.0,Brentford,0.03,0.0,BRE,False,A-clean
432830,Collins,2,BRE,55,a,,,,DEF,5.5,,129.0,32.0,3.0,3.9375,Brentford,0.84,0.09,BRE,False,A-clean
444765,Van den Berg,2,BRE,50,a,,,,DEF,5.0,,113.0,30.0,2.0,3.6,Brentford,0.79,0.06,BRE,False,A-clean
249231,Lewis-Potter,3,BRE,55,a,,,,MID,5.5,,115.0,21.0,15.0,4.809523809523809,Brentford,0.55,0.42,BRE,False,B-cameo
191866,Ajer,2,BRE,45,a,,,,DEF,4.5,,76.0,19.0,8.0,3.5789473684210527,Brentford,0.5,0.3,BRE,False,B-cameo
607464,Kayode,2,BRE,45,a,,,,DEF,4.5,,113.0,37.0,0.0,3.054054054054054,Brentford,0.97,0.0,BRE,False,A-clean
194010,Henry,2,BRE,45,a,,,,DEF,4.5,,52.0,13.0,12.0,3.0,Brentford,0.34,0.48,BRE,False,B-cameo
472713,Hickey,2,BRE,45,a,,,,DEF,4.5,,37.0,7.0,14.0,3.4285714285714284,Brentford,0.18,0.67,BRE,False,B-cameo
231065,Pinnock,2,BRE,45,a,,,,DEF,4.5,,14.0,4.0,0.0,3.5,Brentford,0.11,0.0,BRE,False,A-clean
570241,Ji-soo,2,BRE,45,a,,,,DEF,4.5,,0.0,0.0,0.0,,Brentford,0.0,,BRE,False,A-clean
513086,Schuster,2,BRE,45,a,,,,DEF,4.5,,,,,,,,,,False,A-clean
513418,Schade,3,BRE,60,a,,,,MID,6.0,,125.0,30.0,5.0,4.1,Brentford,0.79,0.14,BRE,False,A-clean
533463,O.Dango,3,BRE,65,a,,,,MID,6.5,,136.0,24.0,8.0,5.083333333333333,Brentford,0.63,0.25,BRE,False,B-cameo
440089,Damsgaard,3,BRE,55,a,,,,MID,5.5,,113.0,22.0,11.0,4.363636363636363,Brentford,0.58,0.33,BRE,False,B-cameo
207283,Jensen,3,BRE,55,a,,,,MID,5.5,,98.0,26.0,10.0,3.0,Brentford,0.68,0.28,BRE,False,B-cameo
204580,Janelt,3,BRE,50,a,,,,MID,5.0,,74.0,15.0,10.0,4.333333333333333,Brentford,0.39,0.4,BRE,False,B-cameo
543295,Milambo,3,BRE,50,d,Knee injury - 75% chance of playing,75.0,,MID,5.0,,1.0,0.0,1.0,,Brentford,0.0,1.0,BRE,False,B-cameo
244858,Carvalho,3,BRE,50,i,Knee injury - Unknown return date,0.0,,MID,5.0,,13.0,1.0,5.0,2.0,Brentford,0.03,0.83,BRE,False,B-cameo
56979,Henderson,3,BRE,50,d,Wrist injury - 75% chance of playing,75.0,,MID,5.0,,76.0,19.0,13.0,3.4210526315789473,Brentford,0.5,0.41,BRE,False,B-cameo
508395,Yarmoliuk,3,BRE,50,a,,,,MID,5.0,,104.0,29.0,8.0,3.3448275862068964,Brentford,0.76,0.22,BRE,False,A-clean
183656,Dasilva,3,BRE,50,a,,,,MID,5.0,,2.0,0.0,2.0,,Brentford,0.0,1.0,BRE,False,B-cameo
444180,Anthony,3,BRE,60,a,,,,MID,6.0,,127.0,29.0,7.0,3.8620689655172415,Burnley,0.76,0.19,BUR,True,A-clean
502500,Thiago,4,BRE,80,a,,,,FWD,8.0,,181.0,37.0,1.0,4.864864864864865,Brentford,0.97,0.03,BRE,False,A-clean
593174,Furo,4,BRE,45,a,,,,FWD,4.5,,1.0,0.0,1.0,,Brentford,0.0,1.0,BRE,False,B-cameo
75115,Wilson,4,BRE,55,a,,,,FWD,5.5,,80.0,8.0,24.0,3.0,West Ham,0.21,0.75,WHU,True,B-cameo
489639,Verbruggen,1,BHA,45,a,,,,GK,4.5,,130.0,37.0,0.0,3.5135135135135136,Brighton,0.97,0.0,BHA,False,A-clean
472739,Rushworth,1,BHA,45,a,,,,GK,4.5,,0.0,0.0,0.0,,Brighton,0.0,,BHA,False,A-clean
49262,Steele,1,BHA,40,a,,,,GK,4.0,,0.0,0.0,0.0,,Brighton,0.0,,BHA,False,A-clean
231416,F.Kadıoğlu,2,BHA,45,a,,,,DEF,4.5,,118.0,34.0,2.0,3.4705882352941178,Brighton,0.89,0.06,BHA,False,A-clean
204120,Boscagli,2,BHA,45,a,,,,DEF,4.5,,39.0,7.0,4.0,5.142857142857143,Brighton,0.18,0.36,BHA,False,B-cameo
465730,De Cuyper,2,BHA,45,a,,,,DEF,4.5,,84.0,12.0,17.0,4.916666666666667,Brighton,0.32,0.59,BHA,False,B-cameo
83299,Dunk,2,BHA,45,a,,,,DEF,4.5,,100.0,31.0,2.0,3.161290322580645,Brighton,0.82,0.06,BHA,False,A-clean
550090,Coppola,2,BHA,45,a,,,,DEF,4.5,,10.0,2.0,3.0,3.5,Brighton,0.05,0.6,BHA,False,B-cameo
223434,Igor,2,BHA,45,a,,,,DEF,4.5,,6.0,1.0,3.0,3.0,West Ham,0.03,0.75,WHU,True,B-cameo
451490,Costinha,2,BHA,45,a,,,,DEF,4.5,,,,,,,,,,False,A-clean
454490,Svoboda,2,BHA,50,a,,,,DEF,5.0,,,,,,,,,,False,A-clean
451340,Mitoma,3,BHA,60,i,Hamstring injury - Unknown return date,0.0,,MID,6.0,,62.0,17.0,7.0,3.2941176470588234,Brighton,0.45,0.29,BHA,False,B-cameo
592031,Minteh,3,BHA,60,a,,,,MID,6.0,,117.0,24.0,9.0,4.375,Brighton,0.63,0.27,BHA,False,B-cameo
532529,Hinshelwood,3,BHA,60,a,,,,MID,6.0,,91.0,19.0,7.0,4.105263157894737,Brighton,0.5,0.27,BHA,False,B-cameo
60307,Groß,3,BHA,55,a,,,,MID,5.5,,78.0,17.0,1.0,4.529411764705882,Brighton,0.45,0.06,BHA,False,A-clean
463067,Georginio,4,BHA,55,a,,,,FWD,5.5,,87.0,18.0,13.0,3.9444444444444446,Brighton,0.47,0.42,BHA,False,B-cameo
219249,O'Riley,3,BHA,55,a,,,,MID,5.5,,16.0,2.0,3.0,6.0,Brighton,0.05,0.6,BHA,False,B-cameo
514254,Gomez,3,BHA,50,a,,,,MID,5.0,,97.0,23.0,9.0,3.9565217391304346,Brighton,0.61,0.28,BHA,False,B-cameo
536916,Buonanotte,3,BHA,50,a,,,,MID,5.0,,3.0,0.0,4.0,,Chelsea,0.0,1.0,CHE,True,B-cameo
509416,Ayari,3,BHA,55,a,,,,MID,5.5,,98.0,20.0,8.0,4.55,Brighton,0.53,0.29,BHA,False,B-cameo
467779,Wieffer,2,BHA,50,a,,,,DEF,5.0,,94.0,20.0,5.0,4.35,Brighton,0.53,0.2,BHA,False,A-clean
535301,Baleba,3,BHA,50,a,,,,MID,5.0,,56.0,15.0,16.0,2.933333333333333,Brighton,0.39,0.52,BHA,False,B-cameo
597320,Howell,3,BHA,45,a,,,,MID,4.5,,4.0,1.0,2.0,2.0,Brighton,0.03,0.67,BHA,False,B-cameo
549074,Watson,3,BHA,50,a,,,,MID,5.0,,5.0,0.0,6.0,,Brighton,0.0,1.0,BHA,False,B-cameo
556637,Oriola,3,BHA,45,a,,,,MID,4.5,,1.0,0.0,1.0,,Brighton,0.0,1.0,BHA,False,B-cameo
700308,Yohanna,3,BHA,50,a,,,,MID,5.0,,,,,,,,,,False,A-clean
50175,Welbeck,4,BHA,60,a,,,,FWD,6.0,,126.0,25.0,11.0,4.2,Brighton,0.66,0.31,BHA,False,B-cameo
608181,Tzimas,4,BHA,55,d,Knee injury - 75% chance of playing,75.0,,FWD,5.5,,16.0,0.0,9.0,,Brighton,0.0,1.0,BHA,False,B-cameo
647850,Kostoulas,4,BHA,55,a,,,,FWD,5.5,,35.0,2.0,19.0,3.5,Brighton,0.05,0.9,BHA,False,B-cameo
487117,Ferguson,4,BHA,50,i,Ankle injury - Expected back 10 Oct,0.0,,FWD,5.0,,0.0,0.0,0.0,,Brighton,0.0,,BHA,False,A-clean
222694,Struijk,2,BHA,50,a,,,,DEF,5.0,,108.0,31.0,2.0,3.4193548387096775,Leeds,0.82,0.06,LEE,True,A-clean
610799,Vuskovic,2,BHA,50,a,,,,DEF,5.0,,0.0,0.0,0.0,,Spurs,0.0,,TOT,True,A-clean
244850,Rogers,3,CHE,75,a,,,,MID,7.5,,169.0,37.0,0.0,4.5675675675675675,Aston Villa,0.97,0.0,AVL,True,A-clean
215059,Sánchez,1,CHE,50,a,,,,GK,5.0,,113.0,33.0,1.0,3.515151515151515,Chelsea,0.87,0.03,CHE,False,A-clean
508479,Jörgensen,1,CHE,50,a,,,,GK,5.0,,9.0,4.0,1.0,2.0,Chelsea,0.11,0.2,CHE,False,A-clean
225796,James,2,CHE,55,a,,,,DEF,5.5,,115.0,19.0,10.0,5.526315789473684,Chelsea,0.5,0.34,CHE,False,B-cameo
180736,Chalobah,2,CHE,55,a,,,,DEF,5.5,,136.0,30.0,3.0,4.566666666666666,Chelsea,0.79,0.09,CHE,False,A-clean
482609,Gusto,2,CHE,50,a,,,,DEF,5.0,,96.0,22.0,11.0,4.0,Chelsea,0.58,0.33,CHE,False,B-cameo
444463,Fofana,2,CHE,50,s,Suspended until 6 Sep,0.0,,DEF,5.0,,65.0,18.0,6.0,3.1666666666666665,Chelsea,0.47,0.25,CHE,False,B-cameo
242880,B.Badiashile,2,CHE,45,a,,,,DEF,4.5,,7.0,3.0,5.0,2.3333333333333335,Chelsea,0.08,0.62,CHE,False,B-cameo
109646,Tosin,2,CHE,45,a,,,,DEF,4.5,,34.0,7.0,9.0,3.4285714285714284,Chelsea,0.18,0.56,CHE,False,B-cameo
551210,Hato,2,CHE,45,a,,,,DEF,4.5,,19.0,9.0,12.0,1.4444444444444444,Chelsea,0.24,0.57,CHE,False,B-cameo
460028,Colwill,2,CHE,50,a,,,,DEF,5.0,,8.0,2.0,1.0,3.5,Chelsea,0.05,0.33,CHE,False,B-cameo
574458,M.Sarr,2,CHE,45,a,,,,DEF,4.5,,3.0,1.0,2.0,1.0,Chelsea,0.03,0.67,CHE,False,B-cameo
577016,Acheampong,2,CHE,45,a,,,,DEF,4.5,,39.0,7.0,9.0,4.428571428571429,Chelsea,0.18,0.56,CHE,False,B-cameo
620109,Palestra,2,CHE,55,a,,,,DEF,5.5,,,,,,,,,,False,A-clean
220362,Disasi,2,CHE,45,a,,,,DEF,4.5,,49.0,14.0,0.0,3.5,West Ham,0.37,0.0,WHU,True,A-clean
244851,Palmer,3,CHE,95,a,,,,MID,9.5,,114.0,21.0,5.0,4.666666666666667,Chelsea,0.55,0.19,CHE,False,A-clean
448047,Enzo,3,CHE,70,a,,,,MID,7.0,,157.0,34.0,1.0,4.588235294117647,Chelsea,0.89,0.03,CHE,False,A-clean
247632,Neto,3,CHE,65,a,,,,MID,6.5,,125.0,29.0,4.0,4.0,Chelsea,0.76,0.12,CHE,False,A-clean
624773,Estêvão,3,CHE,65,a,,,,MID,6.5,,58.0,7.0,15.0,4.714285714285714,Chelsea,0.18,0.68,CHE,False,B-cameo
463936,Gittens,3,CHE,60,a,,,,MID,6.0,,25.0,2.0,14.0,5.5,Chelsea,0.05,0.88,CHE,False,B-cameo
486672,Caicedo,3,CHE,55,a,,,,MID,5.5,,110.0,30.0,2.0,3.7,Chelsea,0.79,0.06,CHE,False,A-clean
514356,Lavia,3,CHE,50,a,,,,MID,5.0,,13.0,1.0,10.0,3.0,Chelsea,0.03,0.91,CHE,False,B-cameo
491007,D.Essugo,3,CHE,45,a,,,,MID,4.5,,1.0,0.0,3.0,,Chelsea,0.0,1.0,CHE,False,B-cameo
593117,Quenda,3,CHE,55,d,Unspecified injury - 75% chance of playing,75.0,,MID,5.5,,,,,,,,,,False,A-clean
475168,João Pedro,4,CHE,75,a,,,,FWD,7.5,,177.0,30.0,5.0,5.433333333333334,Chelsea,0.79,0.14,CHE,False,A-clean
517052,N.Jackson,4,CHE,65,a,,,,FWD,6.5,,0.0,0.0,0.0,,Chelsea,0.0,,CHE,False,A-clean
463034,Delap,4,CHE,55,a,,,,FWD,5.5,,45.0,9.0,18.0,3.0,Chelsea,0.24,0.67,CHE,False,B-cameo
499309,Marc Guiu,4,CHE,50,a,,,,FWD,5.0,,13.0,1.0,9.0,2.0,Chelsea,0.03,0.9,CHE,False,B-cameo
567119,Mheuka,4,CHE,45,a,,,,FWD,4.5,,1.0,0.0,1.0,,Chelsea,0.0,1.0,CHE,False,B-cameo
503037,Emegha,4,CHE,50,d,Hamstring injury - 75% chance of playing,75.0,,FWD,5.0,,,,,,,,,,False,A-clean
428580,Onyeka,3,COV,50,a,,,,MID,5.0,,12.0,0.0,6.0,,Brentford,0.0,1.0,BRE,True,B-cameo
484389,Dovin,1,COV,40,a,,,,GK,4.0,,,,,,,,,,False,A-clean
110690,Wilson,1,COV,45,a,,,,GK,4.5,,,,,,,,,,False,A-clean
461102,Thomas,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
436761,Kitching,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
451284,van Ewijk,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
173878,Dasilva,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
465390,Kesler-Hayden,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
80178,Bidwell,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
204813,Latibeaudiere,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
220583,Woolfenden,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
577411,Brau,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
539142,Amenda,2,COV,40,a,,,,DEF,4.0,,,,,,,,,,False,A-clean
480457,Rudoni,3,COV,50,d,Shoulder injury - 75% chance of playing,75.0,,MID,5.0,,,,,,,,,,False,A-clean
168144,Grimes,3,COV,50,a,,,,MID,5.0,,,,,,,,,,False,A-clean
501459,Sakamoto,3,COV,50,a,,,,MID,5.0,,,,,,,,,,False,A-clean
241293,Mason-Clark,3,COV,55,a,,,,MID,5.5,,,,,,,,,,False,A-clean
439668,Eccles,3,COV,50,a,,,,MID,5.0,,,,,,,,,,False,A-clean
226965,Torp,3,COV,55,a,,,,MID,5.5,,,,,,,,,,False,A-clean
684268,Shepherd,3,COV,45,a,,,,MID,4.5,,,,,,,,,,False,A-clean
469272,Tchaouna,3,COV,55,a,,,,MID,5.5,,59.0,12.0,16.0,3.0,Burnley,0.32,0.57,BUR,True,B-cameo
492498,Borges Rodrigues,3,COV,45,a,,,,MID,4.5,,,,,,,,,,False,A-clean
629397,Andrews,3,COV,45,a,,,,MID,4.5,,,,,,,,,,False,A-clean
176412,Wright,4,COV,55,a,,,,FWD,5.5,,,,,,,,,,False,A-clean
230730,Thomas-Asante,4,COV,50,a,,,,FWD,5.0,,,,,,,,,,False,A-clean
218997,Simms,4,COV,50,a,,,,FWD,5.0,,,,,,,,,,False,A-clean
551262,Markelo,4,COV,50,a,,,,FWD,5.0,,,,,,,,,,False,A-clean
549653,Bassette,4,COV,45,a,,,,FWD,4.5,,,,,,,,,,False,A-clean
172649,Henderson,1,CRY,50,a,,,,GK,5.0,,131.0,36.0,0.0,3.638888888888889,Crystal Palace,0.95,0.0,CRY,False,A-clean
121709,Benitez,1,CRY,45,a,,,,GK,4.5,,7.0,1.0,0.0,7.0,Crystal Palace,0.03,0.0,CRY,False,A-clean
